SDSS ID,Name,RA [deg],DEC [deg],u [mag],g [mag],r [mag],i [mag],z [mag],(b/a)_r,Redshift,Confidence
1237648721218699455,WISEA J101006.77-000328.1,152.528980855089,-0.0577001351457921,18.52833,17.24419,16.73657,16.34936,16.24817,0.349975,0.05838413,0.64842
1237651065734627439,WISEA J095008.41+590302.9,147.535148769018,59.0507261833388,20.13614,18.47511,18.18602,17.88152,18.08256,0.322531,,0.648389
1237665549435076901,WISEA J154005.14+183325.5,235.021337840209,18.5570524437389,20.25924,18.57841,17.75019,17.35275,17.26606,0.2644641,0.1447454,0.648277
1237665440441892904,WISEA J125725.06+282945.6,194.354394745362,28.4958928406158,19.57952,17.45206,16.72994,16.36693,16.73445,0.2721214,0.02394781,0.648238
1237651752408907977,2MASX J13240800+0119223,201.033289614842,1.32273278723302,18.7689,17.38268,16.56037,16.12166,15.81307,0.3272897,0.108715,0.6482
1237668290158985297,WISEA J103514.13+184824.1,158.808885833772,18.8065410681329,19.04986,18.25811,17.78388,17.49403,17.22329,0.2352556,0.05474107,0.648196
1237661069249937571,MSPM 03478,153.772419661286,12.6104232535052,23.80141,22.71247,22.49261,22.39969,22.24508,0.1937677,,0.648188
1237662528987398222,WISEA J132918.53+134031.2,202.327260420302,13.6753450615271,20.24548,18.60301,17.48777,16.98104,16.65983,0.2955938,0.1610901,0.648025
1237659161736184118,WISEA J154741.34+430853.6,236.92229444313,43.148215696695,20.172,18.82936,18.44185,18.08158,17.74603,0.1963708,,0.647902
1237662226217893954,WISEA J125452.26+404330.7,193.718266447018,40.7258820707667,19.3545,17.71164,17.04809,16.65489,16.4308,0.2662774,0.06600843,0.647882
1237654604788269384,WISEA J103446.30+035902.5,158.693065306062,3.98420022581488,20.40955,19.27409,18.25144,17.75371,17.34458,0.2534699,,0.647822
1237662238554652829,FGC 1769,218.530215670955,9.08692592458937,18.37143,16.7369,16.21884,15.83009,15.50316,0.1499979,0.05456499,0.647698
1237661435381219508,SDSS J120804.98+480639.9,182.020749744784,48.1110412769203,21.93757,21.30799,20.21911,18.47146,17.9288,0.4917518,-7.834865E-05,0.64752
1237648722830229557,WISEA J101825.36+011055.7,154.605763539167,1.18218021807341,20.88047,17.51761,17.20291,16.72249,19.08974,0.2806531,0.0216586,0.647512
1237660670356095227,WISEA J103219.25+111453.1,158.080215408675,11.2481783810373,20.94983,19.18882,18.23858,17.8593,17.42803,0.2205568,,0.647302
1237662238002905135,WISEA J121558.13+101617.8,183.992188961222,10.2715843400071,19.57899,17.80546,16.96679,16.5757,16.252,0.3309004,0.06855222,0.647264
1237661871331213381,WISEA J123702.64+434522.4,189.261386760029,43.7566088224531,19.01508,17.63043,16.90487,16.53115,16.27098,0.3258482,0.06854796,0.647261
1237654381442760890,2MASX J09342718+5424074,143.613184597061,54.4019722412503,18.75283,17.10055,16.25087,15.86717,15.57482,0.3930537,0.04817296,0.647162
1237664820359397483,WISEA J115027.21+382937.6,177.614173561745,38.4931189135279,19.42478,17.74937,16.91816,16.44256,16.0675,0.2874937,0.1439879,0.646993
1237667322725793910,WISEA J131745.59+262910.8,199.439999796228,26.4863306210506,18.51527,17.2917,16.60004,16.21244,15.94395,0.5421862,0.04499288,0.646959
1237668272973676598,CGCG 102-048,206.065259965084,19.566656638991,17.04129,15.31071,14.41784,13.94599,13.65874,0.3406313,0.02692491,0.646882
1237653665252901291,WISEA J090533.94+020356.1,136.391376326372,2.06561887731561,19.62589,18.733,17.9924,17.73044,17.40488,0.2655339,,0.646856
1237657591394664477,MSPM 02680,175.120374102321,55.3014197501642,19.44096,17.46923,16.77105,16.31886,15.88478,0.2034048,0.06419586,0.646762
1237660635983577417,SDSS J082809.97+302351.8,127.041575541162,30.3977409715171,18.07915,17.03154,16.70292,16.39463,16.41448,0.2803469,0.05592037,0.64672
1237668294980862048,WISEA J104930.44+192840.0,162.376967590516,19.4775316380775,19.97303,18.00226,17.07589,16.59462,16.19647,0.2602926,0.09992483,0.64666
1237665428645806454,WISEA J160442.21+174101.1,241.175897158799,17.6836563247224,18.15815,16.50064,15.68932,15.29855,14.97095,0.4079471,0.03243295,0.646639
1237668671864308344,WISEA J102135.88+615948.3,155.399089679536,61.9968326645061,27.0969,20.92167,19.24786,19.73608,18.29398,0.1971192,,0.646629
1237663918409842905,WISEA J072913.91+452827.9,112.307939499144,45.4744331648329,19.9281,18.27432,17.127,16.57605,16.10734,0.3303975,0.09378435,0.646498
1237661950790992019,2MASX J12154918+1311478,183.95492622534,13.1967408168292,19.03067,17.39022,16.70702,16.27492,16.12563,0.2794808,0.06494843,0.646474
1237667259894989064,WISEA J133328.41+295726.1,203.368410963686,29.9572393393271,23.27703,18.93112,18.16135,17.67037,17.62163,0.2209453,,0.646472
1237658311868809271,WISEA J124615.08+593941.8,191.562807488499,59.6616237045883,18.9538,17.58315,16.94208,16.61046,16.41456,0.3406565,0.05011898,0.646441
1237665532263006826,WISEA J162707.71+140406.4,246.782585990963,14.0692945519713,19.11954,17.2801,16.41969,15.96083,15.59192,0.2796304,0.04870056,0.646413
1237662193447207076,WISEA J111242.28+402040.6,168.176136515287,40.3446144553033,19.94816,17.8873,16.98084,16.52909,16.21335,0.3950128,0.07365178,0.646405
1237661086952850175,WISEA J074948.29+193037.0,117.451223388942,19.5102651841948,20.32244,17.87091,16.76606,16.29276,15.94081,0.3205748,0.1159235,0.646392
1237665533333274766,2MASX J15582635+1802223,239.609979122088,18.0396185841078,17.57528,15.29532,14.54197,14.13484,13.87296,0.2757662,0.04195382,0.64639
1237662529523548271,WISEA J132245.70+140238.9,200.690315580836,14.0440955712585,19.2952,17.71774,16.96911,16.56347,16.45015,0.3598475,0.09446075,0.646261
1237662193458741378,[EKL2017] ECO 6859,202.910259928468,40.1928865122694,17.22022,16.1297,15.68874,15.45858,15.42222,0.3602084,0.02000056,0.646239
1237655125548597370,WISEA J124047.72+050742.1,190.198806378928,5.1283898426304,19.14378,18.05302,17.53138,17.25064,17.09954,0.199991,0.04881129,0.646046
1237667783380828279,UGC 08758,207.748958300329,21.54075021785,16.939,14.86814,13.95982,13.48872,13.17513,0.3097524,0.02759499,0.646024
1237664289394786413,WISEA J125017.87+140201.6,192.574480142743,14.0337506748853,19.97509,18.01441,16.95741,16.49883,16.20557,0.3702607,0.1112527,0.645941
1237664290468855843,WISEA J125315.21+144142.1,193.313707019026,14.6957348200518,18.85704,17.58938,16.83541,16.42197,16.20137,0.3277546,0.08570686,0.645907
1237651273513042202,WISEA J130527.27+674201.8,196.363457022277,67.7003870499298,20.82247,18.793,17.8251,17.33589,17.03756,0.2651228,0.1029437,0.645826
1237667293727818203,WISEA J092950.35+212754.2,142.459845790811,21.4651048447822,19.5729,19.18355,18.68909,18.27072,19.67992,0.1999824,,0.645709
1237664337181278284,WISEA J121014.16+364916.0,182.559221255519,36.821734976573,20.06321,27.63543,26.57183,24.67031,21.87329,0.05,,0.645706
1237662224608657591,WISEA J131041.68+385906.0,197.67367017458,38.9850184056485,19.57,17.96468,17.18397,16.80299,16.55046,0.2650879,,0.645657
1237661212047900805,WISEA J150711.51+421801.5,226.797992299441,42.3004876020544,20.67373,19.05394,18.07869,17.62132,17.29292,0.2674596,,0.645526
1237667210506470087,WISEA J083543.12+170616.2,128.929691790471,17.1045595314739,19.95028,18.92428,18.37871,17.78996,17.50141,0.2097366,,0.645524
1237662236937748586,UGC 08575,203.939723508111,8.96915547039868,22.45391,21.24039,20.79282,20.50093,20.42942,0.3503095,0.00387635,0.645409
1237665101147799710,WISEA J155539.90+212005.6,238.916468175216,21.3349325703741,20.07076,18.42956,17.20929,16.76848,16.23645,0.3103579,0.0709417,0.645394
1237665127465418817,WISEA J112711.03+333113.9,171.796386690586,33.5206254723739,18.47677,16.93698,16.24731,15.8236,15.5672,0.3283924,0.0589192,0.645323
1237671260134310030,WISEA J102033.51+141846.2,155.139495691545,14.3127889135143,17.56211,15.90021,15.10575,14.60813,14.28859,0.4430221,0.03025908,0.645239
1237673310968021244,WISEA J080623.74+425250.0,121.598894999074,42.8805840895552,19.79862,18.4037,17.45641,16.95387,16.55894,0.2499786,0.1008808,0.645176
1237668288551321661,WISEA J110408.06+182451.9,166.033643014701,18.4144027312436,18.73999,17.73745,17.2092,16.8944,16.70773,0.3129932,0.06948508,0.645129
1237667735577886971,WISEA J113318.10+222932.8,173.3253975735,22.4924542189685,19.04407,17.6667,16.90851,16.54143,16.20623,0.3205786,0.03803157,0.645125
1237662337869808082,WISEA J163608.61+265518.0,249.036369199821,26.9215645879916,18.90539,17.08997,16.42255,16.04826,15.84423,0.2259571,0.07151601,0.645107
1237667441899339801,IC 3646,190.160407573118,26.5261885382807,16.77993,15.30365,14.86077,14.63308,14.51907,0.4425334,0.02169447,0.645067
1237662268613657001,WISEA J153659.98+054455.6,234.249874319923,5.74878259701219,19.80984,18.27527,17.20356,16.74338,16.30515,0.4181049,0.1288925,0.645065
1237658303276384433,WISEA J100218.15+545435.9,150.575604554637,54.909990625691,19.62625,17.8948,16.89195,16.49047,16.18291,0.3413411,0.115198,0.645058
1237655107291971759,WISEA J091611.43+491851.9,139.047799597563,49.3148559094234,18.80839,17.39681,16.51965,16.0648,15.69156,0.3054121,0.1094505,0.645042
1237667429031936120,KUG 1116+259,169.70666204638,25.6893159417212,17.69374,16.44986,15.84938,15.53109,15.32646,0.332294,0.0214296,0.645016
1237664104704835889,WISEA J095956.12+112615.2,149.983824077428,11.4375389064,18.75827,17.4078,16.92691,16.5696,16.37228,0.2208182,0.07150986,0.645003
1237655472899228272,2MASS J17035287+3129547,255.970959134599,31.4991028635563,16.81256,15.32577,14.57782,14.1465,13.8781,0.2898682,0.03368952,0.645002
1237661972252066045,WISEA J111322.99+073725.5,168.345817665329,7.62318938685109,20.49547,18.29782,17.32306,16.8581,16.40679,0.213285,0.1038639,0.644987
1237657771243143336,WISEA J091553.55+475723.0,138.973616029628,47.9564728763664,19.27927,17.89296,16.95466,16.44771,16.17637,0.2090605,0.1174775,0.644909
1237667324328149340,WISEA J115301.77+281322.1,178.257413449468,28.2227612761369,18.9633,17.77954,16.82113,16.37991,16.02855,0.3674935,0.1036493,0.64478
1237662264319344871,GALEXASC J144330.81+083941.3,220.879116853684,8.66094409521195,18.64115,17.43815,16.95948,16.69009,16.55833,0.3313922,0.03383024,0.644706
1237657595684192633,WISEA J075301.93+330203.4,118.258051743655,33.0342948264212,20.0945,18.07914,17.02283,16.55736,16.19312,0.2843083,0.1169538,0.644593
1237650760242036823,LCRS B114740.6-032249,177.558840324415,-3.65806333272392,18.61327,17.4779,16.80234,16.41034,16.25272,0.4071891,0.09769211,0.644552
1237667782818463748,WISEA J094204.05+174344.3,145.516848424417,17.7289785102631,18.46967,17.24095,16.41512,16.03633,15.86335,0.2576544,0.07199904,0.644479
1237662263250715011,WISEA J153008.27+063111.4,232.534438837552,6.5197773406821,19.17832,17.95304,17.07366,16.63413,16.22328,0.218242,0.07391486,0.644472
1237661357536706808,WISEA J103943.65+444201.0,159.931953957547,44.7002784142261,19.33282,18.49021,18.06637,17.75929,17.51943,0.2309448,,0.644337
1237658628622450990,VPC 1040,189.063852833613,11.5244826485725,18.88848,17.31571,16.3585,15.90553,15.51988,0.4739185,0.08457629,0.644155
1237657594076660090,WISEA J082041.02+372722.9,125.170417344482,37.4578578061549,21.03853,20.381,20.08088,19.58606,20.22064,0.7048354,,0.644148
1237651274046177380,WISEA J113353.22+680751.6,173.471738666847,68.1312622286245,19.29248,18.11557,17.65309,17.36445,17.26052,0.3640878,0.07890508,0.644146
1237661951339069547,WISEA J140039.70+122727.3,210.165415012387,12.4575399529415,20.11504,19.03581,18.07844,17.61432,17.2276,0.1673219,,0.64412
1237667109039768262,WISEA J084609.28+211522.5,131.538629527831,21.2563006567332,19.83716,18.78053,18.24516,18.1385,17.86501,0.256459,,0.644078
1237662193447207118,WISEA J111311.50+401705.5,168.297979225266,40.2848929865342,19.73808,18.29986,17.34868,16.8948,16.55697,0.2079411,0.07581118,0.644051
1237651539799703586,WISEA J161452.11+523513.5,243.717028010162,52.5870711383872,18.19462,16.35521,15.44672,15.15805,14.74262,0.4172319,0.06232971,0.644043
1237651755072290913,WISEA J101158.29+025808.7,152.992868903884,2.96906728187082,18.44703,17.34305,16.96436,16.64181,16.43361,0.3631552,0.04597941,0.64404
1237665533333274706,WISEA J155822.07+180424.7,239.591960831186,18.073463533016,22.57012,18.17277,17.50362,17.17072,17.10899,0.1453845,,0.644005
1237662641734091204,2MASX J16292077+2520552,247.336658581439,25.3486676354778,19.10019,17.27665,16.44349,16.00695,15.66579,0.3560662,0.0399843,0.643912
1237655464855077027,WISEA J154026.94+510736.2,235.112336006268,51.1267028745507,20.32335,18.43581,17.325,16.8558,16.50185,0.3168162,0.156242,0.643903
1237662339471179918,WISEA J151611.27+321554.0,229.047136562761,32.2650513359868,18.05723,17.08028,16.80867,16.56983,16.49969,0.3081525,0.04603502,0.643888
1237655465928949795,WISEA J154518.79+513135.4,236.328390421733,51.526502898662,20.16991,17.2422,16.37626,15.99658,15.3585,0.2606452,0.06835851,0.643639
1237665329318527055,WISEA J125245.13+312456.1,193.188119063451,31.4155860032078,20.14774,18.87378,18.13501,17.70245,17.50012,0.3546304,,0.643592
1237658424100388990,WISEA J120917.89+074736.5,182.324543082423,7.79344231960446,17.89112,16.88634,16.50603,16.23008,16.04876,0.332662,0.03724779,0.64349
1237658803108446492,WISEA J112658.85+551706.9,171.745264424559,55.2852706855781,19.16272,18.89772,18.57663,18.49815,17.68439,0.1999436,,0.643479
1237654604788203747,WISEA J103439.84+035341.2,158.666020623939,3.89474231172231,24.30733,18.48539,17.4732,16.97303,16.45143,0.2687002,0.08557543,0.643376
